Rainfall - (MM), Year, Statistics, Country, ISO3
282.41, 1936, Jun Average, Bahamas, The, BHS
71.1162, 1936, Jul Average, Bahamas, The, BHS
172.485, 1936, Aug Average, Bahamas, The, BHS
117.068, 1936, Sep Average, Bahamas, The, BHS
109.68, 1936, Oct Average, Bahamas, The, BHS
120.618, 1936, Nov Average, Bahamas, The, BHS
38.689, 1936, Dec Average, Bahamas, The, BHS
31.8643, 1937, Jan Average, Bahamas, The, BHS
61.553, 1937, Feb Average, Bahamas, The, BHS
59.8702, 1937, Mar Average, Bahamas, The, BHS
87.5743, 1937, Apr Average, Bahamas, The, BHS
186.293, 1937, May Average, Bahamas, The, BHS
117.41, 1937, Jun Average, Bahamas, The, BHS
135.779, 1937, Jul Average, Bahamas, The, BHS
127.368, 1937, Aug Average, Bahamas, The, BHS
166.188, 1937, Sep Average, Bahamas, The, BHS
98.5971, 1937, Oct Average, Bahamas, The, BHS
69.0787, 1937, Nov Average, Bahamas, The, BHS
23.8591, 1937, Dec Average, Bahamas, The, BHS
28.2361, 1938, Jan Average, Bahamas, The, BHS
28.4812, 1938, Feb Average, Bahamas, The, BHS
19.9664, 1938, Mar Average, Bahamas, The, BHS
41.0481, 1938, Apr Average, Bahamas, The, BHS
98.3973, 1938, May Average, Bahamas, The, BHS
162.541, 1938, Jun Average, Bahamas, The, BHS
150.398, 1938, Jul Average, Bahamas, The, BHS
63.4579, 1938, Aug Average, Bahamas, The, BHS
150.723, 1938, Sep Average, Bahamas, The, BHS
75.9094, 1938, Oct Average, Bahamas, The, BHS
85.0136, 1938, Nov Average, Bahamas, The, BHS
41.5654, 1938, Dec Average, Bahamas, The, BHS
21.3712, 1939, Jan Average, Bahamas, The, BHS
15.407, 1939, Feb Average, Bahamas, The, BHS
26.9153, 1939, Mar Average, Bahamas, The, BHS
99.8413, 1939, Apr Average, Bahamas, The, BHS
214.246, 1939, May Average, Bahamas, The, BHS
111.359, 1939, Jun Average, Bahamas, The, BHS
157.894, 1939, Jul Average, Bahamas, The, BHS
105.832, 1939, Aug Average, Bahamas, The, BHS
93.6843, 1939, Sep Average, Bahamas, The, BHS
134.814, 1939, Oct Average, Bahamas, The, BHS
152.118, 1939, Nov Average, Bahamas, The, BHS
53.3754, 1939, Dec Average, Bahamas, The, BHS
40.6568, 1940, Jan Average, Bahamas, The, BHS
61.9451, 1940, Feb Average, Bahamas, The, BHS
51.8529, 1940, Mar Average, Bahamas, The, BHS
54.6514, 1940, Apr Average, Bahamas, The, BHS
111.929, 1940, May Average, Bahamas, The, BHS
124.371, 1940, Jun Average, Bahamas, The, BHS
79.2274, 1940, Jul Average, Bahamas, The, BHS
108.886, 1940, Aug Average, Bahamas, The, BHS
320.307, 1940, Sep Average, Bahamas, The, BHS
71.1232, 1940, Oct Average, Bahamas, The, BHS
23.0955, 1940, Nov Average, Bahamas, The, BHS
80.0711, 1940, Dec Average, Bahamas, The, BHS
111.625, 1941, Jan Average, Bahamas, The, BHS
94.9388, 1941, Feb Average, Bahamas, The, BHS
129.569, 1941, Mar Average, Bahamas, The, BHS
209.519, 1941, Apr Average, Bahamas, The, BHS
83.6339, 1941, May Average, Bahamas, The, BHS
132.313, 1941, Jun Average, Bahamas, The, BHS
153.457, 1941, Jul Average, Bahamas, The, BHS
82.4785, 1941, Aug Average, Bahamas, The, BHS
146.762, 1941, Sep Average, Bahamas, The, BHS
