Temperature - (Celsius), Year, Statistics, Country, ISO3
22.2943, 1931, Jan Average, Tanzania, United Republic of, TZA
23.5659, 1931, Feb Average, Tanzania, United Republic of, TZA
22.278, 1931, Mar Average, Tanzania, United Republic of, TZA
22.0156, 1931, Apr Average, Tanzania, United Republic of, TZA
21.4717, 1931, May Average, Tanzania, United Republic of, TZA
20.3228, 1931, Jun Average, Tanzania, United Republic of, TZA
19.6922, 1931, Jul Average, Tanzania, United Republic of, TZA
21.1476, 1931, Aug Average, Tanzania, United Republic of, TZA
22.1738, 1931, Sep Average, Tanzania, United Republic of, TZA
23.8185, 1931, Oct Average, Tanzania, United Republic of, TZA
23.6754, 1931, Nov Average, Tanzania, United Republic of, TZA
21.5618, 1931, Dec Average, Tanzania, United Republic of, TZA
21.8002, 1932, Jan Average, Tanzania, United Republic of, TZA
22.0463, 1932, Feb Average, Tanzania, United Republic of, TZA
21.6698, 1932, Mar Average, Tanzania, United Republic of, TZA
21.1129, 1932, Apr Average, Tanzania, United Republic of, TZA
20.5017, 1932, May Average, Tanzania, United Republic of, TZA
19.8237, 1932, Jun Average, Tanzania, United Republic of, TZA
18.6938, 1932, Jul Average, Tanzania, United Republic of, TZA
20.4444, 1932, Aug Average, Tanzania, United Republic of, TZA
22.3955, 1932, Sep Average, Tanzania, United Republic of, TZA
23.2977, 1932, Oct Average, Tanzania, United Republic of, TZA
23.9073, 1932, Nov Average, Tanzania, United Republic of, TZA
22.1358, 1932, Dec Average, Tanzania, United Republic of, TZA
21.3878, 1933, Jan Average, Tanzania, United Republic of, TZA
21.874, 1933, Feb Average, Tanzania, United Republic of, TZA
22.5012, 1933, Mar Average, Tanzania, United Republic of, TZA
22.1808, 1933, Apr Average, Tanzania, United Republic of, TZA
21.6164, 1933, May Average, Tanzania, United Republic of, TZA
20.7348, 1933, Jun Average, Tanzania, United Republic of, TZA
19.3675, 1933, Jul Average, Tanzania, United Republic of, TZA
20.3928, 1933, Aug Average, Tanzania, United Republic of, TZA
20.9117, 1933, Sep Average, Tanzania, United Republic of, TZA
22.4463, 1933, Oct Average, Tanzania, United Republic of, TZA
23.6619, 1933, Nov Average, Tanzania, United Republic of, TZA
21.8522, 1933, Dec Average, Tanzania, United Republic of, TZA
22.1788, 1934, Jan Average, Tanzania, United Republic of, TZA
22.0928, 1934, Feb Average, Tanzania, United Republic of, TZA
22.4414, 1934, Mar Average, Tanzania, United Republic of, TZA
21.8286, 1934, Apr Average, Tanzania, United Republic of, TZA
21.1473, 1934, May Average, Tanzania, United Republic of, TZA
20.177, 1934, Jun Average, Tanzania, United Republic of, TZA
19.5959, 1934, Jul Average, Tanzania, United Republic of, TZA
20.7578, 1934, Aug Average, Tanzania, United Republic of, TZA
21.7791, 1934, Sep Average, Tanzania, United Republic of, TZA
22.7738, 1934, Oct Average, Tanzania, United Republic of, TZA
22.7118, 1934, Nov Average, Tanzania, United Republic of, TZA
22.0608, 1934, Dec Average, Tanzania, United Republic of, TZA
22.7496, 1935, Jan Average, Tanzania, United Republic of, TZA
21.8773, 1935, Feb Average, Tanzania, United Republic of, TZA
22.4471, 1935, Mar Average, Tanzania, United Republic of, TZA
21.5252, 1935, Apr Average, Tanzania, United Republic of, TZA
21.1933, 1935, May Average, Tanzania, United Republic of, TZA
20.0805, 1935, Jun Average, Tanzania, United Republic of, TZA
